Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-05-13,151.735,154.944,151.123,154.573,603400,0.0,0.0
2021-05-14,154.675,155.825,154.202,155.074,545900,0.0,0.0
2021-05-17,154.573,157.012,153.72,156.781,500100,0.0,0.0
2021-05-18,156.743,157.875,154.823,154.926,552800,0.0,0.0
2021-05-19,152.774,154.035,150.965,152.477,846100,0.0,0.0
2021-05-20,152.152,153.08,151.095,152.375,629200,0.0,0.0
2021-05-21,153.71,154.499,152.189,152.254,728300,0.0,0.0
2021-05-24,153.516,155.028,152.486,153.924,590900,0.0,0.0
2021-05-25,154.304,155.445,151.67,151.939,644000,0.0,0.0
2021-05-26,151.874,152.495,150.121,152.069,833000,0.0,0.0
2021-05-27,154.072,154.814,152.672,153.404,1350100,0.0,0.0
2021-05-28,153.618,153.71,151.614,153.46,673600,0.0,0.0
2021-06-01,156.048,157.133,155.037,156.224,1093700,0.0,0.0
2021-06-02,156.428,156.706,153.627,153.775,498100,0.0,0.0
2021-06-03,153.089,155.065,151.317,155.009,546000,0.0,0.0
2021-06-04,155.742,156.057,153.933,154.285,640800,0.0,0.0
2021-06-07,154.898,155.259,152.625,153.321,567800,0.0,0.0
2021-06-08,152.282,154.378,150.863,153.033,557700,0.0,0.0
2021-06-09,150.01,151.688,148.73,150.52,511100,0.0,0.0
2021-06-10,152.449,152.811,149.388,149.462,526000,0.0,0.0
2021-06-11,150.427,151.735,148.47,148.72,581900,0.0,0.0
2021-06-14,148.182,148.748,144.417,145.131,774500,0.0,0.0
2021-06-15,145.567,146.29,144.157,145.344,703700,0.0,0.0
2021-06-16,144.658,145.224,140.92,141.569,1195100,0.0,0.0
2021-06-17,141.356,141.745,134.112,137.126,1103200,0.0,0.0
2021-06-18,134.687,136.328,134.557,135.855,1760700,0.0,0.0
2021-06-21,137.599,139.751,137.599,138.545,633500,0.0,0.0
2021-06-22,138.861,138.935,136.802,137.813,632400,0.0,0.0
2021-06-23,138.666,138.944,137.163,137.97,659200,0.0,0.0
2021-06-24,138.944,140.178,137.794,139.139,623500,0.0,0.0
2021-06-25,140.002,141.068,138.796,139.306,1737300,0.0,0.0
2021-06-28,139.426,139.426,136.56,137.599,539200,0.0,0.0
2021-06-29,138.499,139.426,136.162,136.421,554600,0.0,0.0
2021-06-30,136.347,141.17,136.171,140.614,999600,0.0,0.0
2021-07-01,143.489,143.999,139.77,142.042,940000,0.0,0.0
2021-07-02,142.172,144.148,140.892,143.517,846600,0.0,0.0
2021-07-06,143.164,143.369,137.905,139.297,705900,0.0,0.0
2021-07-07,138.249,141.894,138.249,140.493,449500,0.0,0.0
2021-07-08,138.072,139.417,136.774,138.879,666100,0.0,0.0
2021-07-09,141.523,142.914,140.725,142.404,730600,0.0,0.0
2021-07-12,140.734,143.758,140.382,143.192,673900,0.0,0.0
2021-07-13,143.201,143.452,140.799,142.997,673800,0.0,0.0
2021-07-14,143.424,144.713,142.422,142.96,573800,0.0,0.0
2021-07-15,142.914,146.633,142.803,144.658,1025600,0.0,0.0
2021-07-16,144.936,145.381,140.734,141.309,951300,0.0,0.0
2021-07-19,138.193,138.731,134.344,136.922,916600,0.0,0.0
2021-07-20,136.319,140.113,135.049,140.057,836100,0.0,0.0
2021-07-21,141.588,143.378,140.308,140.493,769400,0.0,0.0
2021-07-22,140.168,140.753,137.618,138.091,887400,0.0,0.0
2021-07-23,142.992,144.8,138.743,142.386,1511600,0.68,0.0
2021-07-26,144.269,144.753,141.054,143.085,998100,0.0,0.0
2021-07-27,141.333,144.362,138.855,143.588,809200,0.0,0.0
2021-07-28,143.989,144.092,141.715,143.365,348500,0.0,0.0
2021-07-29,144.427,145.964,144.39,145.061,529800,0.0,0.0
2021-07-30,145.079,147.418,144.25,145.144,534100,0.0,0.0
2021-08-02,145.62,147.753,143.458,143.486,572700,0.0,0.0
2021-08-03,143.626,145.731,141.371,145.573,820000,0.0,0.0
2021-08-04,144.604,145.154,142.116,142.125,464200,0.0,0.0
2021-08-05,143.02,144.064,142.33,142.61,835400,0.0,0.0
2021-08-06,143.7,145.61,143.588,144.856,541700,0.0,0.0
2021-08-09,144.436,146.896,143.449,145.825,593000,0.0,0.0
2021-08-10,145.731,150.018,145.731,149.403,677400,0.0,0.0
2021-08-11,150.027,152.412,149.226,152.04,828500,0.0,0.0
2021-08-12,152.179,152.636,150.232,151.714,485600,0.0,0.0
2021-08-13,151.769,152.086,150.437,151.304,382800,0.0,0.0
2021-08-16,149.98,150.018,147.455,148.629,592600,0.0,0.0
2021-08-17,147.334,147.455,143.924,146.048,469800,0.0,0.0
2021-08-18,145.34,146.374,144.129,144.269,473300,0.0,0.0
2021-08-19,141.715,143.15,140.569,141.967,517200,0.0,0.0
2021-08-20,141.566,143.709,141.24,143.318,670100,0.0,0.0
2021-08-23,144.408,145.638,143.793,144.846,424200,0.0,0.0
2021-08-24,145.592,147.185,145.014,146.701,426000,0.0,0.0
2021-08-25,146.272,148.797,145.601,148.247,327400,0.0,0.0
2021-08-26,148.145,148.145,146.682,147.399,365700,0.0,0.0
2021-08-27,148.005,150.344,147.8,149.319,407900,0.0,0.0
2021-08-30,150.148,150.167,148.462,148.508,358700,0.0,0.0
2021-08-31,148.154,148.601,147.204,147.781,912600,0.0,0.0
2021-09-01,147.94,148.34,145.536,146.318,488700,0.0,0.0
2021-09-02,146.635,148.34,145.61,145.731,538000,0.0,0.0
2021-09-03,145.443,145.657,143.486,144.557,559200,0.0,0.0
2021-09-07,143.178,143.644,141.343,142.079,669200,0.0,0.0
2021-09-08,142.098,142.256,140.402,140.793,559600,0.0,0.0
2021-09-09,140.504,143.933,140.355,142.433,451400,0.0,0.0
2021-09-10,143.607,144.157,142.312,142.759,359100,0.0,0.0
2021-09-13,144.203,144.492,142.694,143.383,468200,0.0,0.0
2021-09-14,144.026,144.39,139.311,139.498,713500,0.0,0.0
2021-09-15,140.057,141.52,139.591,140.942,1099200,0.0,0.0
2021-09-16,140.728,143.784,140.234,141.967,816700,0.0,0.0
2021-09-17,141.343,142.097,137.783,138.752,1377400,0.0,0.0
2021-09-20,134.979,135.705,132.481,135.286,1047000,0.0,0.0
2021-09-21,136.274,136.74,133.926,136.041,789200,0.0,0.0
2021-09-22,137.644,139.302,135.538,135.733,1188900,0.0,0.0
2021-09-23,137.001,141.51,136.348,139.256,1219100,0.0,0.0
2021-09-24,139.023,143.486,138.818,142.424,995900,0.0,0.0
2021-09-27,144.297,146.104,143.933,144.669,862200,0.0,0.0
